artist_name;artist_pop;track_name;track_pop;album;key;mode;tempo;duration_ms;time_signature;energy;danceability;instrumentalness
Ed Sheeran;91.0;Bad Habits - MEDUZA Remix;68.0;Bad Habits (MEDUZA Remix);11.0;0.0;126.031;194332.0;4.0;0.8;0.609;0.00132
Anabel Englund;54.0;Picture Us;25.0;Picture Us;2.0;1.0;118.004;157902.0;4.0;0.751;0.772;0.000239
Dennis Lloyd;66.0;Nevermind;75.0;Nevermind;5.0;0.0;99.977;156600.0;4.0;0.688;0.6;1.29e-05
RÜFÜS DU SOL;70.0;Always;55.0;Surrender;3.0;0.0;119.989;448800.0;4.0;0.649;0.574;0.419
Martin Garrix;76.0;Ocean (feat. Khalid) - Don Diablo Remix;41.0;Ocean (feat. Khalid) [Don Diablo Remix];8.0;1.0;122.932;202927.0;4.0;0.882;0.706;0.0169
Oliver Heldens;69.0;This Groove;61.0;This Groove;1.0;1.0;124.025;188175.0;4.0;0.909;0.823;0.0407
Dezza;49.0;Coastline;28.0;Coastline / Bloom;7.0;1.0;122.01;193037.0;4.0;0.88;0.743;0.902
Tiësto;83.0;The Business;83.0;The Business;8.0;0.0;120.031;164000.0;4.0;0.62;0.798;0.0192
Diplo;79.0;Promises;52.0;Promises;0.0;0.0;122.02;201176.0;4.0;0.699;0.539;0.0
Regard;71.0;Secrets;71.0;Secrets;6.0;0.0;118.961;176767.0;4.0;0.768;0.848;0.000785
Tube & Berger;51.0;All I Want (feat. Goatchy);48.0;All I Want (feat. Goatchy);10.0;1.0;123.991;224978.0;4.0;0.722;0.605;0.831
Nora En Pure;62.0;Heart Beating;49.0;Heart Beating;7.0;0.0;125.13;163320.0;4.0;0.812;0.73;3.02e-05
Duke Dumont;65.0;Real Life;57.0;Real Life;7.0;0.0;123.915;205773.0;4.0;0.74;0.543;0.00358
Maverick Sabre;61.0;Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix;72.0;Slow Down (feat. Jorja Smith) [Vintage Culture & Slow Motion Remix];11.0;0.0;124.023;181306.0;4.0;0.661;0.881;0.0187
Elderbrook;68.0;I’ll Find My Way To You;66.0;I’ll Find My Way To You;6.0;1.0;120.017;264046.0;4.0;0.474;0.795;0.758
Sofi Tukker;68.0;Drinkee;61.0;Drinkee;2.0;1.0;115.011;299294.0;4.0;0.691;0.771;0.625
SG Lewis;65.0;Hurting (feat. AlunaGeorge);52.0;Dark;11.0;0.0;118.016;185085.0;4.0;0.649;0.792;9.27e-05
Tim van Werd;33.0;Icarus;21.0;Icarus EP;6.0;1.0;121.986;242951.0;4.0;0.926;0.53;0.548
Martin Garrix;76.0;High On Life (feat. Bonn);72.0;High On Life (feat. Bonn);6.0;0.0;128.038;230762.0;4.0;0.486;0.414;0.0
KREAM;61.0;Water (feat. ZOHARA);60.0;Water (feat. ZOHARA);0.0;0.0;121.936;192838.0;4.0;0.738;0.567;7.27e-05
Kaskade;66.0;ICE v3;26.0;ICE v3;2.0;1.0;123.994;283584.0;4.0;0.856;0.629;0.231
M-22;57.0;First Time - Disco Fries Remix;50.0;First Time (Disco Fries Remix);8.0;1.0;123.987;207339.0;4.0;0.727;0.761;0.397
Skrillex;75.0;Midnight Hour with Boys Noize & Ty Dolla $ign;54.0;Midnight Hour with Boys Noize & Ty Dolla $ign;0.0;1.0;125.978;198839.0;4.0;0.899;0.795;0.000392
Don Diablo;67.0;Fever;41.0;Fever;11.0;1.0;125.981;171906.0;4.0;0.926;0.671;0.138
David Guetta;89.0;Thing For You (With Martin Solveig);51.0;Thing For You (With Martin Solveig);2.0;1.0;121.057;191399.0;4.0;0.723;0.774;1.82e-05
The Knocks;64.0;Bodies - Lenno Remix;35.0;Bodies (Lenno Remix);8.0;0.0;118.007;230132.0;4.0;0.638;0.777;0.015
Loure;38.0;Two Dimes Deep;21.0;Two Dimes Deep;8.0;0.0;125.032;428789.0;4.0;0.719;0.84;0.235
DVBBS;64.0;Need U;44.0;Nothing To See Here;10.0;1.0;114.994;219521.0;4.0;0.705;0.713;0.000359
Diplo;79.0;Turn Back Time;55.0;Turn Back Time;10.0;0.0;124.0;147261.0;4.0;0.786;0.751;0.000935
Dynoro;66.0;In My Mind;59.0;In My Mind;6.0;1.0;125.854;183366.0;4.0;0.75;0.675;1.69e-05
ZHU;65.0;Working For It;61.0;GENERATIONWHY;5.0;0.0;99.951;231813.0;4.0;0.715;0.776;0.0131
Lipless;49.0;Losing Myself;39.0;Losing Myself;11.0;1.0;124.001;220820.0;4.0;0.92;0.667;0.876
Calvin Harris;85.0;One Kiss (with Dua Lipa);90.0;One Kiss (with Dua Lipa);9.0;0.0;123.994;214847.0;4.0;0.862;0.791;2.19e-05
KREAM;61.0;What You've Done To Me (feat. Bemendé);64.0;What You've Done To Me (feat. Bemendé);10.0;0.0;123.996;166598.0;4.0;0.911;0.7;0.65
